Lat-Long,Count,
41.10-74.16,1,
40.78-73.55,4,
40.57-73.86,1,
40.78-73.56,7,
40.78-73.57,2,
40.78-73.58,1,
40.57-73.89,1,
40.78-73.54,4,
40.94-73.13,1,
40.84-74.45,3,
40.59-74.00,6,
40.78-73.44,2,
40.78-73.45,1,
40.73-73.28,2,
40.57-73.95,1,
40.78-73.41,2,
40.73-73.24,1,
40.78-73.42,11,
40.57-73.99,3,
40.78-73.43,1,
40.57-73.98,1,
40.78-73.77,6,
40.78-73.78,12,
40.78-73.79,2,
40.78-73.73,21,
40.73-73.58,1,
40.78-73.75,2,
40.73-73.59,5,
40.73-73.52,1,
40.78-73.70,11,
40.78-73.71,5,
40.73-73.55,1,
40.78-73.72,6,
40.36-73.99,1,
40.84-74.27,1,
40.89-74.44,1,
40.84-74.21,6,
40.84-74.22,1,
40.89-74.48,1,
41.09-73.44,1,
40.84-74.28,1,
40.84-74.29,2,
40.78-73.66,2,
40.78-73.67,2,
40.78-73.68,2,
40.78-73.62,2,
40.73-73.45,1,
40.78-73.63,1,
40.78-73.64,1,
40.78-73.65,1,
40.73-73.41,1,
40.73-73.42,2,
40.78-73.90,39,
41.09-73.72,1,
40.59-74.37,1,
40.78-73.99,1788,
40.78-73.95,6746,
40.78-73.96,8780,
40.78-73.97,1541,
40.78-73.98,7348,
40.78-73.91,154,
40.63-74.41,1,
40.78-73.92,106,
40.78-73.93,27,
41.13-73.81,1,
40.78-73.94,389,
40.89-74.22,2,
40.89-74.20,1,
40.82-73.97,1,
40.89-74.26,3,
40.82-73.96,193,
40.89-74.25,1,
40.82-73.95,363,
40.89-74.24,1,
40.82-73.94,359,
40.82-73.93,69,
42.12-72.07,1,
40.59-74.47,1,
40.82-73.92,35,
40.82-73.91,30,
40.82-73.90,21,
41.09-73.63,2,
40.59-74.39,1,
40.78-73.89,2,
40.82-73.99,15,
40.82-73.98,6,
40.78-73.84,14,
41.13-73.76,1,
40.78-73.85,13,
40.78-73.86,1,
40.78-73.87,2,
40.78-73.80,9,
40.78-73.81,8,
40.78-73.82,9,
40.78-73.83,13,
40.92-72.70,2,
40.89-74.15,1,
40.89-74.12,2,
41.09-73.92,1,
40.89-74.19,1,
40.59-74.15,1,
40.59-74.16,1,
40.59-74.07,1,
40.59-74.08,1,
40.59-74.09,4,
40.63-74.24,4,
40.63-74.25,3,
40.33-74.64,1,
40.33-74.66,1,
41.09-73.80,1,
40.89-74.04,2,
40.89-74.03,2,
40.89-74.02,1,
40.89-74.01,4,
41.09-73.81,2,
40.89-74.08,2,
40.61-73.99,18,
40.89-74.07,1,
