Interval,Street,Count,
1,29 ST, 31,
1,COLONIAL PKWY, 1,
1,GIFFORD AVE, 1,
1,E 53 St, 1,
1,FENIMORE ST, 2,
1,AVE AT PORT IMPERIAL, 29,
1,MARCUS GARVY BLVD, 1,
1,SAINT PAULS AVE, 2,
1,SALISBURY PARK DR, 1,
1,VAN NOSTRAND AVE, 1,
1,HARBOR RD, 1,
1,VILLAGE RD, 3,
1,ATLANTIC AVE, 15,
1,133 ST, 1,
1,VELA WAY, 1,
1,W 12 ST, 127,
1,GREENWOOD AVE, 5,
1,DEANE PL, 2,
1,86 AVE, 2,
1,FLOWER AVE, 1,
1,W 105 ST, 10,
1,54 PL, 1,
1,Pitt St, 1,
1,HERRICKS RD, 1,
1,29 St, 1,
1,E 53 ST, 41,
1,MANSON PL, 1,
1,CENTRAL PARK NORTH, 3,
1,CLEVELAND ST, 2,
1,SHAWNEE AVE, 4,
1,12TH ST, 3,
1,WEST DR, 1,
1,ELIZABETH ST, 60,
1,LAFAYETTE AVE, 9,
1,30 RD, 2,
1,1, 1,
1,BROADHOLLOW RD, 1,
1,CHARLTON AVE, 2,
1,Maiden La, 2,
1,Ox Ridge Lane, 1,
1,KENT ST, 2,
1,Tower RD, 1,
1,W 117 ST, 25,
1,Bay Street, 2,
1,WILLIAMSBRIDGE RD, 1,
1,DELTA, 1,
1,W 24 ST, 134,
1,W 207 ST, 6,
1,St Nicholas Ave, 1,
1,LANCASTER ST, 1,
1,BEACH 129TH ST, 1,
1,Stewart Rd, 2,
1,STUYVESANT ST, 2,
1,HALL ST, 1,
1,JENNIFER LN, 1,
1,17 ST, 4,
1,PUTNAM AVE, 1,
1,RIVERSIDE BLVD, 226,
1,Dean St, 4,
1,E 65 St, 6,
1,GLEN COVE RD, 3,
1,CLARK ST, 13,
1,JOYCE CT, 1,
1,SPRINGFIELD AVE, 2,
1,BARR LN, 1,
1,Shore Rd, 1,
1,HOLLYWOOD XING, 4,
1,OCEANSIDE RD, 3,
1,W 12 St, 6,
1,MORROW RD, 1,
1,HOLLYWOOD AVE, 1,
1,W 105 St, 1,
1,OAK RD, 1,
1,E 65 ST, 101,
1,RIVERSVILLE RD, 1,
1,66 RD, 5,
1,AUGUSTA ST, 1,
1,54 ST, 2,
1,E 28 St, 3,
1,Crestview Ave, 1,
1,RAPELYE ST, 1,
1,LORING AVE, 1,
1,QUAKER HILL RD, 1,
1,NORTH AVE, 1,
1,BOULEVARD, 9,
1,OVERLOOK RD, 4,
1,SURF DR, 1,
1,BROWNS RD, 1,
1,16 AVE, 1,
1,CLARK PL, 1,
1,CROSBY ST, 42,
1,CROTONA AVE, 1,
1,ROUTE-120, 5,
1,MEADOW LN, 1,
1,Cooper Ave, 1,
1,FIFTH AVE, 1,
1,SHIELDS AVE, 1,
1,Kent Ave, 4,
1,Hudson Terrace, 1,
1,OAKSTWAIN RD, 2,
1,LARCH AVE, 1,
1,CLEVELAND AVE, 2,
1,merriwind drive, 1,
1,EASTVIEW AVE, 2,
1,ORLOFF AVE, 1,
1,STONEGATE TRL, 1,
1,SOUTH FRANKLIN TURN, 1,
1,DRIFTWOOD DR, 1,
1,MAPLE WING BLVD, 1,
1,ROSELAND AVE, 1,
1,OAK WAY, 1,
1,Chestnut Drive, 1,
1,KINGS WALK, 1,
1,WILLIAMSBURG CT, 1,
1,CLEVELAND PL, 3,
1,OAK LN, 1,
1,MACKEY AVE, 3,
1,DECATUR ST, 4,
1,HAMPTON BLVD, 1,
1,6 Ave, 14,
1,Poulson Street, 1,
1,COURTER AVE, 1,
1,66 ST, 3,
1,E 41 ST, 18,
1,APPLE LN, 2,
1,Bennett Street, 2,
